convert_2_file::2024/03/07 17:19:55.233 | MainProcess | INFO | run_batch | wrapper_success_files::56 | 28492 >>> File found count 9 status: successed.
convert_2_file::2024/03/07 17:19:55.234 | MainProcess | INFO | run_batch | get_data_files::99 | 28492 >>> Get Data from files..
convert_2_file::2024/03/07 17:19:55.234 | MainProcess | INFO | run_batch | get_data_files::112 | 28492 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/ADM.txt'.
convert_2_file::2024/03/07 17:19:55.234 | MainProcess | INFO | verify_data | generate_text_data::103 | 28492 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:19:55.236 | MainProcess | INFO | run_batch | get_data_files::109 | 28492 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/BOS.xlsx'.
convert_2_file::2024/03/07 17:19:55.236 | MainProcess | INFO | verify_data | generate_excel_data::41 | 28492 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:19:55.241 | MainProcess | INFO | run_batch | get_data_files::109 | 28492 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/CUM.xls'.
convert_2_file::2024/03/07 17:19:55.241 | MainProcess | INFO | verify_data | generate_excel_data::41 | 28492 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:19:55.243 | MainProcess | INFO | run_batch | get_data_files::112 | 28492 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/DocImage.txt'.
convert_2_file::2024/03/07 17:19:55.243 | MainProcess | INFO | verify_data | generate_text_data::103 | 28492 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:19:55.244 | MainProcess | INFO | run_batch | get_data_files::109 | 28492 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/ICAS-NCR.xlsx'.
convert_2_file::2024/03/07 17:19:55.244 | MainProcess | INFO | verify_data | generate_excel_data::41 | 28492 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:19:55.246 | MainProcess | INFO | run_batch | get_data_files::109 | 28492 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/IIC.xlsx'.
convert_2_file::2024/03/07 17:19:55.246 | MainProcess | INFO | verify_data | generate_excel_data::41 | 28492 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:19:55.249 | MainProcess | INFO | run_batch | get_data_files::112 | 28492 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/LDS-P_UserDetail.txt'.
convert_2_file::2024/03/07 17:19:55.249 | MainProcess | INFO | verify_data | generate_text_data::103 | 28492 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:19:55.250 | MainProcess | INFO | run_batch | get_data_files::109 | 28492 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/Lead-Management.xlsx'.
convert_2_file::2024/03/07 17:19:55.250 | MainProcess | INFO | verify_data | generate_excel_data::41 | 28492 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:19:55.253 | MainProcess | INFO | run_batch | get_data_files::109 | 28492 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/MOC.xlsx'.
convert_2_file::2024/03/07 17:19:55.253 | MainProcess | INFO | verify_data | generate_excel_data::41 | 28492 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:19:55.257 | MainProcess | INFO | run_batch | write_data_to_tmp_file::127 | 28492 >>> Write Data to Tmp files..
convert_2_file::2024/03/07 17:19:55.269 | MainProcess | INFO | verify_data | validation_data::121 | 28492 >>> Verify Changed information..
convert_2_file::2024/03/07 17:19:55.290 | MainProcess | INFO | run_batch | write_data_to_tmp_file::158 | 28492 >>> Genarate Sheet_name: RUN_TIME_2 in Tmp files.
convert_2_file::2024/03/07 17:19:55.291 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> No Change Rows: (2) in Tmp files.
convert_2_file::2024/03/07 17:19:55.291 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> Inserted Rows: (3) in Tmp files. Record Changed: {'ApplicationCode': 'nan -> 15', 'AccountOwner': 'nan -> 16', 'AccountName': 'nan -> 17', 'AccountType': 'nan -> 18', 'EntitlementName': 'nan -> 19', 'SecondEntitlementName': 'nan -> 20', 'ThirdEntitlementName': 'nan -> 21', 'AccountStatus': 'nan -> 22', 'IsPrivileged': 'nan -> 23', 'AccountDescription': 'nan -> 24', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 26', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 28'}
convert_2_file::2024/03/07 17:19:55.292 | MainProcess | INFO | run_batch | write_data_to_tmp_file::175 | 28492 >>> Inserted Rows: (4) in Tmp files. Record Changed: {'ApplicationCode': 'nan -> 29', 'AccountOwner': 'nan -> 30', 'AccountName': 'nan -> 31', 'AccountType': 'nan -> 32', 'EntitlementName': 'nan -> 33', 'SecondEntitlementName': 'nan -> 34', 'ThirdEntitlementName': 'nan -> 35', 'AccountStatus': 'nan -> 36', 'IsPrivileged': 'nan -> 37', 'AccountDescription': 'nan -> 38', 'CreateDate': 'nan -> 2024-03-07', 'LastLogin': 'nan -> 40', 'LastUpdatedDate': 'nan -> 2024-03-07 17:19:55', 'AdditionalAttribute': 'nan -> 42'}
